0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
-1.4509482,1.9109532,0.71187913,-0.24773829,0.36146623,-0.03294967,-0.22134672,0.47725677,-0.69193935,0.79200596,0.07324913,1.3032861,0.21348149,1.017349,1.9117118,-0.5296716,1.8421352,-1.0572351,-0.8629163,0.2376315,-1.1541817,1.214984,-1.2937591,0.8227228,-0.33215111,-1.281429,0.21853781,2.0834742,-0.24821806,0.2674604,0.7125135,-0.65360767,0.16227964,2.2133806,-0.66553426,-1.0090032,2.3480513,0.60437584,0.6438291,-0.33175227,0.069863975,-0.014711026,1.7110687,-0.35644507,0.64311606,-0.24088278,-2.557981,-1.955663,0.025705738,0.7732842,1.3343185
2.186095,1.7785724,0.3401741,-0.21351859,1.1177359,0.9470295,0.2630036,-1.8679353,-0.3916012,-1.1514176,0.09743798,1.582032,-0.48286855,0.19991277,-0.29465726,0.97823614,-0.030080423,-0.68652344,0.049740173,1.3376414,-0.2327679,0.55370176,-1.5200741,1.1927979,0.52518576,-0.84640753,-0.1968985,-0.863017,0.98530906,-0.031434327,-0.98463583,2.2469897,-0.053587552,0.55642575,-2.0065346,-0.68322015,0.46313873,-0.56406933,-0.4040819,-1.638067,-0.15125239,0.90744406,0.067394495,0.6904919,-0.06996847,0.7473189,-0.30642408,0.18199109,-0.07213603,2.2179666,4.2436657
0.2584544,-0.73603076,0.31125087,-0.11879521,0.7704783,-1.1488329,-0.27289367,-0.12485667,0.62675834,1.1580555,0.3578694,0.52423793,-0.8897497,0.73690724,1.6190456,0.21215972,0.03181006,1.2027237,0.2974544,-0.7536116,-0.21495011,-0.41238073,-1.0782416,1.2124852,-0.35463777,-0.46698478,-0.66643196,-0.24249065,-1.0844555,-0.07992434,0.805794,-0.04241359,-0.69537306,-0.13390766,-1.9502766,-0.6351724,0.76579565,-0.639683,-0.60884935,-0.13055295,0.2573746,-1.8645183,0.49022773,-1.0192904,-0.41132864,0.21408825,-0.43895724,-0.6792212,2.397027,1.3159437,-0.21914268
-0.35957086,-0.13549052,0.382583,0.42273453,1.3860945,1.0000144,0.81490517,-0.4322401,1.2615763,1.0358875,0.0888159,-0.9681393,0.5345946,0.6659725,0.49985346,0.32154286,0.5994461,-0.29594898,1.2292345,0.010073153,0.7231179,-1.425952,0.032922454,-0.8677184,0.6967328,-0.11856477,-1.7443402,-1.5614556,-0.64653444,0.020452596,0.44375837,1.4649253,-1.1195253,0.5204598,0.7527293,-0.14479561,0.065425254,-0.8443719,-0.9486173,-0.9517263,-0.1947846,-1.2511503,0.2455297,-1.069974,-0.25665373,-0.046674673,1.9227381,-1.764984,0.59205973,1.9057757,-0.21977523
0.20256658,-0.7034028,-0.68040335,0.856582,1.4464366,-1.4997525,0.7591158,1.0302025,0.6655295,-0.8262937,0.7588489,3.0707633,0.83175164,1.3867522,0.9696217,-0.8225842,1.2684389,-0.41817573,-0.53322655,-1.0426465,1.7924603,-0.21511014,2.470532,-1.5290377,-1.2665809,-0.16056362,1.977846,-0.9023744,-0.4871658,0.33805317,1.4017388,1.5702367,0.50169,1.8230431,0.26655567,-0.52612686,-0.019226408,0.66502076,-0.7463761,0.40311593,-0.90961546,-0.62123406,-1.4016353,-0.75800306,0.8844774,1.6775206,1.054447,-0.3753612,0.80435354,0.76924103,-1.0946988
0.31787348,-0.14496364,-1.0745149,0.59374547,-0.41566673,-2.1127045,-0.6351862,2.2287703,-0.99655396,0.8141331,0.20964253,-0.60143584,0.8164835,-0.91914344,-1.6378131,0.77026445,-1.4446889,-1.1620274,1.2960913,0.8192863,-1.7761412,0.11702786,-0.29250023,-0.5410006,-2.5351639,-1.503264,-0.50268304,0.75070727,-0.63635933,0.43043178,-0.71883243,1.5621926,-1.9216114,0.43732977,-1.7793894,-0.10948148,-1.8283267,0.71526057,0.5301638,1.2183224,-0.41078636,-1.0849112,0.8450724,-0.4862188,0.77661043,-0.12675822,0.5484046,-1.0632427,-0.6789523,-0.5279698,-1.1317589
0.48352388,-0.056669384,-0.84395874,0.21076316,0.44213992,0.8200504,0.15913574,-1.1636426,-0.023565236,2.0059764,1.1990286,0.7094441,0.44234794,1.3996071,0.63168365,0.07150669,0.3443775,-0.2209227,-0.031081924,0.9335781,-0.8228793,0.6419606,-0.18277484,0.32915115,0.0057120626,0.34496862,-0.52513546,-0.28013626,0.6124201,-1.3941882,0.81387275,-1.7346828,-1.062489,-0.57436305,-0.6937052,-0.06861951,-0.29564387,0.46998903,-0.7842061,0.4346192,-0.28476152,0.4805901,0.5505834,-1.6614579,0.08138571,0.12507422,0.39463282,0.45791417,-0.24549349,0.32090396,-0.24262305
0.9928029,-1.0620536,-1.2996515,-0.3157524,0.059355713,0.87080944,-2.250284,1.389478,0.32751673,1.0224633,-1.6271462,0.18045895,1.011693,1.1277634,1.2649488,0.25054178,-0.055221826,1.9836094,1.2746875,0.24978569,-0.16150934,-0.6700853,-0.0060240235,-1.0883771,0.24682632,-0.5037211,0.6642651,0.3392033,-0.8464318,-1.439335,0.3360419,0.406931,0.7045354,-0.38894862,-0.35192066,-1.7947497,-2.6192908,0.30257353,1.5729096,-0.7181896,-1.097916,-1.5870721,-0.34762222,-0.8072985,-0.50610524,1.4242588,-0.31513044,-0.8382687,0.45428297,0.3368274,-1.4450228
-0.3660443,0.40955052,0.15903534,0.84403676,0.33173707,0.072439305,-0.9961148,-0.9286595,-0.04939837,-0.17950389,1.239663,-1.2813959,0.24223664,-1.1875962,0.85957646,-0.6173942,-0.1201539,0.44136298,-2.190264,1.6280887,-1.1158183,0.44322053,-1.2282249,0.1094049,0.026307784,1.3210741,-1.2330216,-2.5301118,-0.44519085,1.972423,-0.03729036,-1.214985,-0.3002587,0.73521376,-0.73347974,0.03243159,1.3453556,0.32045883,0.29707035,0.4309525,0.48183998,0.41677302,-2.3650806,0.44964534,-0.069539264,-1.2957817,0.64491993,1.1942645,-2.7998235,0.8801803,0.23444545
-0.008731938,-0.08463822,-1.1755226,-0.515753,1.3258893,2.0683243,-0.51631135,1.2285696,-1.3246039,-1.0120858,2.2528937,1.1158001,-0.3991848,-0.6457704,-0.26323393,0.33297405,-0.20466167,-0.4280609,0.4241985,-0.3652175,0.892428,-1.3471444,-1.9653131,-0.686507,-1.4387741,-0.3011151,-0.28113452,2.024771,0.5217165,-0.7151398,0.3769067,0.74854106,-0.21567167,0.7823824,-0.15093388,0.14119639,-0.18377517,0.29696733,2.094173,0.49044082,-0.75970197,1.6930295,0.38637266,-0.65343285,0.35647488,0.45132402,1.4266067,-0.33011174,-0.8671322,0.35829902,-1.2938298
0.03890431,-0.0457162,1.5232747,-1.8458321,1.9066333,0.3410473,-0.5190788,1.5860695,1.8350279,-1.1748701,0.089375004,-0.35739782,0.6693185,-0.57056504,0.6423356,0.40891743,-0.3344284,-1.9641788,-0.123261474,0.5605375,0.5901929,1.2280833,0.012970392,-0.26685944,0.7226576,-0.24381793,-1.1450635,0.39687532,-1.6810764,0.6937435,0.84169513,0.99594206,0.89596224,-0.11282184,-0.28612265,-0.10460022,-0.3268527,0.41514146,1.0715207,-0.36886564,0.0726207,-1.7052921,-0.9910016,-0.34018707,0.35457206,-0.51003605,1.5232028,1.0232656,-2.0725195,-1.9674493,1.6626735
-0.2246199,-2.8605864,-1.0992751,0.8316408,-0.7163565,-0.6976814,-0.5254248,-0.036434285,-0.45345828,-0.010409337,1.4951161,0.46915698,-0.17796983,1.220402,-0.8689473,-0.0013453718,1.1980066,-0.38178253,0.035901494,0.06351934,1.6509115,-1.920998,-0.2547854,-1.0222102,0.5682999,-1.609783,1.389351,-1.0652146,0.6721355,1.3252733,-0.5109333,0.42302173,0.8658391,-0.4072952,0.102171645,-0.88817596,-1.4459755,-0.65526116,0.7669563,0.12617481,-0.7450081,0.24468423,-1.84122,-1.4407487,-0.19208436,0.91208565,0.4268746,0.67150813,-0.6913007,0.118644774,-4.390496
1.0252074,-1.4921478,0.8383948,-0.814106,0.35982445,-0.21166164,0.9079471,0.8690354,0.21399654,0.3049609,-1.9564364,-1.1314479,0.860901,-0.50097734,0.13418877,-0.018504115,-0.21214166,1.203964,1.0132084,0.69946367,-0.5253358,-1.6321371,-0.007093336,0.4804318,-0.40003836,-0.8832235,0.4007296,0.19001316,1.931087,-0.41204986,0.19880854,-0.3223331,0.30496898,-1.4548639,-0.9095039,0.49775738,-1.802514,-0.7584992,-0.47234905,1.3641576,-1.3348902,0.5528965,-0.06129663,-1.8311812,-0.3879871,0.6914775,1.089629,0.49621195,0.11681583,-0.54761344,0.33921272
0.45360687,0.038714245,-0.53359294,0.28282163,-1.505091,1.5282865,-0.6480851,0.23545228,-0.49284184,-0.005020623,-0.7593462,-1.5889851,-0.5461485,-1.2706355,-0.47479975,-0.36414167,0.81757826,-1.0808028,-0.45958263,1.3543178,-0.28499487,1.1985592,-0.6904877,-0.3459615,0.7119814,1.1899552,-0.6008456,1.4493812,-0.4607139,-3.2860754,-1.031158,-0.5140404,-0.9904311,-0.17243402,-0.99657255,0.6947988,0.99012834,-0.47479188,-0.9481644,0.46305057,-0.27153423,-0.4551883,-1.0144843,-1.3470873,-1.2752513,0.23901625,2.0084195,-1.3156736,0.1038389,0.5680127,-0.07967726
